train_clean_loss,train_clean_acc,train_adv_loss,train_adv_acc,epoch,lr,test_clean_acc,test_adv_acc,test_adversarial_acc
1.8155406056618204,0.3304191888595114,2.223655282234659,0.1591992414727503,1,0.016000000000000014,0.41627412736415864,,
1.9234286935961977,0.3344250880942053,2.2851234917738,0.1956001666127419,2,0.07223549801218293,0.4278435200452805,,
1.6504898679499724,0.40056472955917827,2.0880420402604707,0.2232669306044676,3,0.20800000000000002,0.43235868513584136,,
1.4984647692466269,0.45780174586237693,1.9912904719917142,0.2496807465747911,4,0.34376450198781716,0.5214901193976402,,
1.3766678279759932,0.5102450701655173,1.9387035661814165,0.27031904337357504,5,0.4,0.5160788148641586,,
1.2479880975217235,0.5673305440922173,1.8773989093546966,0.29050158542029714,6,0.399974045098095,0.5624770224094391,,
1.1338720735238523,0.6143224908381092,1.8202752799403912,0.30971997428913506,7,0.3998961871289762,0.6131548702716827,,
1.0533117724924672,0.6467156361560432,1.7805106420906223,0.3228469752535528,8,0.39976644630068386,0.6648667275905609,,
0.9744555050013016,0.6801774732920588,1.731597326239761,0.3401851897336999,9,0.39958485628745755,0.6923311114311218,,
0.9217994188775822,0.7021097066451092,1.6977674985418514,0.35310649932647237,10,0.39935146422099554,0.6867359846830368,,
0.8704725151159325,0.7220632433891296,1.6676155426064316,0.3630751827541663,11,0.39906633067822195,0.7249770224094391,,
0.8240698916571481,0.7405682936006662,1.6340876477105277,0.3743629972545468,12,0.3987295296655643,0.7300034463405609,,
0.7809814689110737,0.7563350589907899,1.6025138971756916,0.3861934293289574,13,0.39834114859974457,0.7234030336141586,,
0.7587467723963212,0.7639723274172568,1.580424661539039,0.39320911132559483,14,0.3979012882850907,0.7512867659330368,,
0.7208866562162127,0.7800181106645234,1.5537679608987303,0.4021734066155492,15,0.39741006288737246,0.7579446226358414,,
0.6966072101982272,0.7884251207721477,1.5343405738168834,0.4070840453614994,16,0.3968675999041701,0.7585248172283172,,
0.672183137767169,0.7978462978285186,1.5111752042965012,0.4154741350485354,17,0.3962740401317818,0.7646312028169632,,
0.6496417364295648,0.8084658980369568,1.4952649632278754,0.42235181222156604,18,0.3956295376286806,0.7591337323188782,,
0.6342805356395488,0.8125146651754573,1.4811557190758842,0.4278686198653007,19,0.394934259675528,0.7852022051811218,,
0.6159471942453968,0.8176419005102041,1.4637441148563308,0.43214789641146756,20,0.3941883867317565,0.793187040090561,,
0.5899863997284247,0.8296832892359519,1.4434541390866649,0.439358364562599,21,0.3933921123887315,0.8030503213405609,,
0.5733922379357475,0.8335714887599556,1.4306791874827172,0.44181086335863384,22,0.39254564331950415,0.7823127299547196,,
0.5579856555072629,0.8397828328366183,1.4169717856815882,0.44575734953491053,23,0.39164919922517,0.7938591450452804,,
0.5410451341648491,0.8465033270874802,1.4029615022698227,0.4491961878173205,24,0.3907030127778449,0.7938591450452804,,
0.5227614635107468,0.8509913038234321,1.3870134548265107,0.4581992145703763,25,0.38970732956027554,0.8081456810235977,,0.3466567099094391
0.5139480032482926,0.8550269092832293,1.3879196181589244,0.45597346400728034,26,0.388662408002098,0.8060374528169632,,
0.49336409143039156,0.8618605903216771,1.3693410450098467,0.46217239876182714,27,0.3875685193127626,0.7916015625,,
0.48598848496164593,0.8624885690455534,1.3629822171464259,0.4623735772103679,28,0.38642594741114117,0.8100356161594391,,
0.46947988746117575,0.8681467649888019,1.345594233396102,0.46953027224054145,29,0.38523498885183616,0.8033203125,,
0.45924305185979725,0.8711230815673361,1.344204922111667,0.4705184923142803,30,0.3839959527482099,0.8084386497735977,,
0.4445989977340309,0.8758863149857035,1.3293548603447116,0.4769065720694406,31,0.38270916069215405,0.8069910377264022,,
0.4345464870637777,0.8798767960801417,1.3258124516934764,0.47544906090716926,32,0.38137494667062044,0.8345932900905609,,
0.4259199731203975,0.8813061045140637,1.3148133122191137,0.47869123366414285,33,0.3799936569789346,0.8245978862047195,,
0.41558036147331706,0.8863442199570792,1.3053006493315404,0.48306414241693457,34,0.37856565013091525,0.8254250913858414,,
0.402945269735492,0.8880258470165486,1.2947213430793918,0.4852756036787617,35,0.3770912967658215,0.8284409463405609,,
0.39659248991888396,0.8915184590281272,1.291965467589242,0.4890363283303319,36,0.3755709795521536,0.83603515625,,
0.3899228384300154,0.8935114437220048,1.2829740096111686,0.4928910610627155,37,0.37400509308833146,0.82470703125,,
0.37806319338934763,0.897671141186539,1.270158736073241,0.49487088468610024,38,0.37239404380027635,0.8252642452716827,,
0.369784165401848,0.9011284052109232,1.261990264970429,0.49881173031670706,39,0.37073824983592335,0.8309455424547195,,
